Date,Open,High,Low,Close,Adj Close,Volume
18-08-2016,262.040009,264.950012,261.600006,264.130005,244.798187,9260895
19-08-2016,264.200012,267.799988,263.200012,267.190002,247.634216,8321130
22-08-2016,267,269.850006,266.540009,268.660004,248.996628,10797710
23-08-2016,268.640015,270.269989,267.100006,268.25,248.616653,10622375
24-08-2016,268.25,268.570007,266.01001,267.570007,247.986435,9255800
25-08-2016,267.859985,269.920013,267.399994,268.709991,249.042953,18358660
26-08-2016,269.320007,269.399994,263.809998,265.299988,245.882553,11571115
29-08-2016,264.940002,268.600006,263.399994,267.730011,248.134705,14935990
30-08-2016,268.600006,274.950012,268.040009,271.040009,251.202438,16352895
31-08-2016,272,276.459991,268.399994,273.220001,253.2229,115844660
01-09-2016,273.940002,275.329987,272.029999,272.970001,252.991196,10078310
02-09-2016,273,278.850006,272.459991,277.670013,257.347198,10368200
06-09-2016,277.98999,289.799988,277.98999,288.160004,267.069427,15724805
07-09-2016,289.540009,289.540009,278.01001,280.309998,259.793976,25600470
08-09-2016,277.429993,278,264.25,265.649994,246.20694,35636540
09-09-2016,250.009995,263,249.389999,255.25,236.568115,78742560
12-09-2016,249.800003,249.800003,239.399994,241.020004,223.379623,43954345
14-09-2016,240.619995,251.389999,240.619995,250.699997,232.35112,31911355
15-09-2016,248,248,241.240005,244.360001,226.475159,24159660
16-09-2016,246.399994,247.869995,231.779999,233.960007,216.836334,51458690
19-09-2016,233.199997,238.75,231.160004,235.470001,218.23584,36763550
20-09-2016,237.820007,242.690002,234.259995,241.410004,223.741089,23871605
21-09-2016,241.820007,245.559998,241.820007,244.050003,226.187866,18703315
22-09-2016,249,251.800003,246.179993,249.309998,231.062866,23157050
23-09-2016,249,249.779999,245.610001,246.630005,228.579025,10170100
26-09-2016,244.389999,248.600006,243.25,247.070007,228.986832,12014610
27-09-2016,249.399994,250.360001,247.639999,249.380005,231.127762,14692145
28-09-2016,249.199997,254.960007,249,254.240005,235.632034,15717525
29-09-2016,255.199997,260.98999,245,246.160004,228.143433,43012315
30-09-2016,246.309998,251.820007,242.309998,250.940002,232.573563,20948795
03-10-2016,255,256.600006,252.649994,254.050003,235.455963,10837885
04-10-2016,256,258.359985,254.059998,256.809998,238.013947,11167390
05-10-2016,258.799988,259.5,254.199997,255.830002,237.105682,8482040
06-10-2016,247.419998,259,246.300003,256.01001,237.272507,29599565
07-10-2016,255.199997,256.959991,253.229996,254.759995,236.113983,8982320
10-10-2016,255.800003,258,255.199997,255.899994,237.170532,6132935
13-10-2016,253.600006,256.779999,247.059998,251.139999,232.758942,12997300
14-10-2016,252,253.600006,248.830002,251.990005,233.546722,9909040
17-10-2016,252.880005,253.399994,248.449997,250.110001,231.804306,6591605
18-10-2016,251,259.359985,251,258.209991,239.311478,12869390
19-10-2016,259.589996,261.709991,255.449997,258.309998,239.40416,14327055
20-10-2016,260.200012,264.730011,259.359985,261.76001,242.601654,28955560
21-10-2016,262.809998,264,259.399994,263.480011,244.195786,13051360
24-10-2016,264,265.589996,261.209991,262.160004,242.972382,6980205
25-10-2016,262,262.399994,259.700012,261.690002,242.536774,6748985
26-10-2016,260.790009,262.720001,256.910004,258.049988,239.163177,9314120
27-10-2016,260,260.190002,248.419998,250.720001,232.369675,24423540
28-10-2016,251.800003,255.580002,251.460007,254.460007,235.835938,6607850
01-11-2016,254.690002,254.690002,249.419998,249.889999,231.600433,8123990
02-11-2016,247.210007,247.589996,240.160004,241.929993,224.223007,14708685
03-11-2016,242.199997,253,238,241.759995,224.065445,9504210
04-11-2016,243,243.080002,234.520004,239.220001,221.711365,10946935
07-11-2016,242,246.380005,240.800003,241.470001,223.796692,8729235
08-11-2016,243,247.179993,239.229996,245.289993,227.337082,9374000
09-11-2016,228,245.899994,224.610001,243.830002,225.983963,22095675
