Date,Open,High,Low,Close,Adj Close,Volume
03-02-2020,37.950001,38.400002,35.700001,36,36,148030362
04-02-2020,36.150002,36.400002,34.450001,34.950001,34.950001,138230643
05-02-2020,35.099998,39.700001,34.049999,37.599998,37.599998,281100614
06-02-2020,37.900002,39.5,37.799999,38.549999,38.549999,135268292
07-02-2020,38.799999,39.950001,38.150002,38.700001,38.700001,127163152
10-02-2020,40,40.75,37.099998,37.549999,37.549999,142245961
11-02-2020,37.75,38.099998,36.700001,36.849998,36.849998,96791648
12-02-2020,36.75,36.75,35.049999,35.200001,35.200001,101372754
13-02-2020,36.950001,38,36,37.200001,37.200001,168339964
14-02-2020,37.5,40.200001,37.5,38.900002,38.900002,187898337
17-02-2020,39.5,40.099998,36.599998,37.150002,37.150002,116075992
18-02-2020,37.349998,37.5,33.650002,35.049999,35.049999,229070225
19-02-2020,34,36.200001,33.599998,35.299999,35.299999,127701131
20-02-2020,35.299999,36.5,34.650002,35.450001,35.450001,119436898
24-02-2020,35.5,35.900002,34.150002,34.950001,34.950001,105851722
25-02-2020,35.25,36,34.75,35.150002,35.150002,88184594
26-02-2020,34.900002,37.049999,34.450001,36.549999,36.549999,149229469
27-02-2020,37.299999,37.950001,36,36.799999,36.799999,164315370
28-02-2020,35.150002,35.849998,34.299999,34.599998,34.599998,141720001
02-03-2020,35.200001,35.549999,29.799999,31.549999,31.549999,127750922
03-03-2020,32.450001,33.299999,30.5,31.200001,31.200001,164268356
04-03-2020,31.5,31.700001,28.700001,29.299999,29.299999,202851281
05-03-2020,29.4,37.849998,28,36.799999,36.799999,784703310
06-03-2020,33.150002,33.150002,5.65,16.15,16.15,191175895
09-03-2020,17,22.799999,16.200001,21.25,21.25,727555369
11-03-2020,23.35,29.6,23.35,28.799999,28.799999,413642132
12-03-2020,28.700001,28.700001,17.450001,25.049999,25.049999,337764206
13-03-2020,22.549999,27.700001,21.35,25.549999,25.549999,276659418
16-03-2020,26.700001,40.400002,26.049999,37.099998,37.099998,166519072
17-03-2020,40.799999,64.900002,40.799999,58.650002,58.650002,223459530
18-03-2020,64.5,87.300003,49.900002,60.450001,60.450001,364133191
19-03-2020,61.650002,61.799999,42.799999,53.849998,53.849998,147322500
20-03-2020,59.200001,67.300003,41.25,45.849998,45.849998,118188727
23-03-2020,41.299999,49.5,39.25,39.75,39.75,93892480
24-03-2020,43.650002,43.700001,34.549999,35,35,79649832
